Response ID,Select which type of data to enter:,Outreach team member:,Date of contact:,Stakeholder's name and title:,Method of interaction:,Stakeholder type:,"Other, please specify::Stakeholder type:",Outreach team member:,Name of event or distribution:,Date of event or distribution:,Event or distribution type:,Other (please specify)::Event or distribution type:,"Army/DoD partners (includes CMA, AASC, Depot commanders):Number of participants:",Citizens' Advisory Commission members:Number of participants:,Congress and congressional staffers:Number of participants:,"Emergency Management (e.g. CSEPP, FEMA, etc.):Number of participants:",International community members:Number of participants:,Local community members:Number of participants:,Local elected officials:Number of participants:,Media:Number of participants:,Oversight agency members:Number of participants:,PEO ACWA Workforce members:Number of participants:,Regulatory agency members:Number of participants:,Other:Number of participants:,Date range of posting(s):,Facebook posts:Number of social media posting(s):,Tweets:Number of social media posting(s):,Instagram posts:Number of social media posting(s):,HQ Video:Number of social media posting(s):,Digital shorts:Number of social media posting(s):,"Digital communications (Flickr, Website updates and YouTube Uploads):Number of social media posting(s):",Name of video (if applicable):
45,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,11/15/16,,,,,1,,ACWA Partners: Organisation for the Prohibition of Chemical Weapons (video short)
46,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,11/10/16,,,,,,1,Website Article: Blue Grass Partners Perform High-Angle Rescue Training
47,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,11/10/16,,,,,,1,Website Article: Colorado Community Serves Dual Military Roles
48,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,11/16/16,Public interaction report,,32,,,,,,,,,20,,,,,,,,,,
49,Event or information distribution,,,,,,,Team Member 1,PEO ACWA Weekly News Clips,11/21/16,Weekly news summary,,13,,,2,,,,,5,29,2,,,,,,,,,
50,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,11/11/16,,,,,1,,CSEPP ACWA Partners Video Short
51,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,11/2/16,,,,,,2,Youtube Cover Graphic
52,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,11/22/16,,,,,1,,Pueblo Plant Operations Underway (video short)
53,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,11/22/16,,,,,1,,Blue Grass Plant Systemization Underway (video short)
54,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,11/23/16,,,,,,1,Website Article: Blue Grass Plant Hosts Vendor Forum
55,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,11/30/16,,,,,,1,November Web Update: Blue Grass
56,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,11/30/16,,,,,,1,November Web Update: Pueblo
57,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,11/23/16,Public interaction report,,32,,,,,,,,,20,,,,,,,,,,
58,Event or information distribution,,,,,,,Team Member 1,PEO ACWA Weekly News Clips,11/28/16,Weekly news summary,,13,,,2,,,,,5,29,2,,,,,,,,,
59,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,11/01/2016-11/30/2016,,,,,,2,YouTube Uploads
60,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,11/30/16,Public interaction report,,32,,,,,,,,,20,,,,,,,,,,
61,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,11/01/2016 - 11/30/2016,55,112,42,,,3,
62,Event or information distribution,,,,,,,Team Member 1,PEO ACWA Weekly News Clips,12/5/16,Weekly news summary,,13,,,2,,,,,5,29,2,,,,,,,,,
63,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,11/23/16,,,,,,1,"Website Article: Turkey Time, Thanks to PCAPP Employees"
64,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,11/23/16,,,,,,1,Website Article: Demil Plant Secondary Waste Products Processed Off Site
65,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,11/30/16,,,,,,1,"Website Article: Experts Meet, Review Program Progress"
66,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,12/2/16,,,,,,1,Website Article: Operations Paused at Pueblo Pilot Plant
67,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,11/20/16,,,,,1,,Thanksgiving Motion Graphic
68,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,12/7/16,Public interaction report,,32,,,,,,,,,20,,,,,,,,,,
69,Event or information distribution,,,,,,,PEO/Management,PCAPP Pause Notification,12/2/16,Other (please specify):,Notification Email,51,,,5,,,,,1,,,,,,,,,,,
70,Event or information distribution,,,,,,,Team Member 1,PEO ACWA Weekly News Clips,12/12/16,Weekly news summary,,13,,,2,,,,,5,29,2,,,,,,,,,
